geo_code,signature_type,use,greenspace,job_types,air_quality,house_affordability,job_accessibility,greenspace_accessibility
E00042787,7,0.37408873403658505,0.24800002434344381,0.4152076493440807,-16.553135553161013,-7.504701879784679,1853.5893115063395,850178.9826451931
E00042706,10,-0.33586737876766715,0.0,0.25766624587451037,-16.68010758562859,-7.961403190187684,4201.753008019779,834807.4017034882
E00042704,7,-0.6600068027097296,0.009613029170482887,0.519119459579016,-17.08624215332106,-7.291085280510357,2280.0860804918493,978143.3521138339
E00042785,7,0.37408873403658505,0.24800002434344381,0.4154259467704535,-17.05431771884798,-7.620895902378304,1444.7718045528484,920446.6474182482
E00042705,7,0.17513372767372687,0.25507770399401536,0.06790122052985287,-17.00530723402155,-7.205353802189309,3205.320213300851,903214.3097450049
E00042784,7,0.37408873403658505,0.24800002434344381,0.7248132701267554,-15.820881565768138,-7.548694514685931,4747.793609423359,652387.7401774568
E00042702,7,-0.6600068027097296,0.009613029170482887,0.5167879513047479,-16.670644359942575,-7.319819612203478,2624.2385651941704,873359.0950601788
E00042783,7,0.37408873403658505,0.24800002434344381,0.4173979288917242,-17.20828237905065,-7.304345960589241,2213.5854997008014,993134.7184430859
E00042781,7,0.37408873403658505,0.24800002434344381,0.7248132701267554,-15.535204999990311,-7.548471905169544,3500.4734398851683,857501.7814878997
E00042780,7,0.37408873403658505,0.24800002434344381,0.42643348753337873,-16.11310913959321,-7.628892853363153,2669.2753190246995,897273.039955668
E00042788,7,0.17130291411696352,0.24800002434344381,0.12726490768606574,-17.099116060252705,-7.405037113382841,1565.2768249982812,898812.1501793384
E00042709,10,-0.21795672572850622,0.08826710219835152,0.7963762122069705,-16.350384612951537,-7.920613509744291,6910.7372037000205,2574924.3706615455
E00175603,8,0.09866040767535805,0.32552380924003893,0.6001864885431418,-16.896119741888825,-7.34513826695724,1250.0603205757964,2306339.517113329
E00175602,8,0.09866040767535805,0.32552380924003893,0.5987457399744951,-16.845001990522263,-7.26109905001981,1040.7697943272929,2127337.3847728726
E00175600,11,-0.043095671373305944,0.7718162822364635,0.7329499893824301,-16.232233929504485,-7.1379183990916335,5866.037200753469,3407316.9198641274
E00175604,8,0.09866040767535805,0.32552380924003893,0.5987457399744951,-17.009694176762736,-7.291777586940279,1238.1813449147428,2317440.6474367194
E00175601,8,-0.9314240156584827,0.3134904670331411,0.921725828089357,-16.601066778610065,-7.357714771842811,4955.380095931569,548143.988614454
E00175605,4,-0.036060333662490035,0.018895263386590096,0.5895602048231654,-16.15573402901974,-7.842521699899865,1482.8450133892857,272928.2106564865
E00042889,10,0.4310604502114974,0.1204777134045267,0.29733341595803797,-16.434281294508086,-7.2279249150733555,5674.411886780904,3988100.3546111677
E00042808,10,1.0,0.0,0.6896262273711063,-15.796670293882693,-7.312766969754945,12961.46873304396,573545.9731127948
E00042888,7,-0.36109668871436634,0.04626138871230967,0.819531821296464,-16.634522257428422,-7.255100649597399,3384.0277212308442,2213947.2434439585
E00042387,4,0.8732880765276533,0.018895263386590096,0.8990174594910341,-17.965029518789382,-7.609872129969759,3271.5021418929905,578466.8875917932
E00042306,8,-0.04602374054149576,0.36173081062169565,0.2504846061789877,-15.940861511690926,-7.353296275995267,1279.492087162483,1071552.8003071905
E00042304,8,-0.04602374054149576,0.36173081062169565,0.2504846061789877,-16.705069292985712,-7.074760023288997,211.6541828298764,989125.1046432545
E00042385,4,0.8732880765276533,0.018895263386590096,0.921573706792687,-16.293040190618076,-8.051392842643464,2408.4344705348176,63688.97443306819
E00042305,8,-0.04602374054149576,0.36173081062169565,0.2504846061789877,-16.665451924072904,-7.067803586663937,1246.6200897818849,1189863.4967946033
E00042384,8,-0.04602374054149576,0.36173081062169565,0.7825274816323798,-16.173356593999753,-7.91278374222185,3339.1680882774417,2536632.9624781087
E00042302,8,-0.04602374054149576,0.36173081062169565,0.2504846061789877,-16.61296728994079,-7.3862161979784355,2829.795385575239,1102156.1619092373
E00042383,8,-0.04602374054149576,0.36173081062169565,1.0,-16.59476987500022,-7.901627565725212,6875.217853338116,728337.1632229661
E00042303,8,-0.04602374054149576,0.36173081062169565,0.2504846061789877,-16.472942750752395,-7.30661833550984,886.3685115643602,1057813.0934900083
E00042382,8,-0.19882348142568831,0.2920656016168751,0.7368720870862588,-18.04122422324786,-7.404475074307737,4057.2752381044456,1009307.1287503086
E00042300,8,-0.04602374054149576,0.36173081062169565,0.2504846061789877,-16.335593606751907,-7.330530984520795,2382.4662639702483,997744.160873675
E00042381,8,1.0,0.21737510729363307,0.20018792918478212,-17.84795527969933,-7.6331639177784725,7107.482796550422,657917.7901980021
E00042380,8,-0.04602374054149576,0.36173081062169565,0.7293819389918432,-16.31659323911953,-7.766193550176861,1201.8777692484723,1186903.8847535995
E00042301,8,-0.04602374054149576,0.36173081062169565,0.2504846061789877,-17.34873014927727,-7.493621887684066,681.6050211838915,998266.3578738752
E00042309,8,-0.4310305003551995,0.1544143623783976,0.736456183526342,-14.976039749432447,-7.7878690279060585,1712.1565400586805,374251.78231224336
E00042388,4,-0.8565132578129461,0.018895263386590096,0.6564503000316483,-17.55070950145735,-7.439022121846478,5428.707500292844,919606.1298206601
E00042656,11,0.1701648002491684,0.18996820890876986,0.9682133373742097,-16.711242020734506,-7.31818350376045,12712.554596562099,1321738.867168313
E00042657,11,0.8757214239261546,0.23437311326049148,0.5224534027807826,-16.675949026318737,-7.308088836631734,15026.025793541325,1374851.454453777
E00042654,11,0.6857066728797323,0.18996820890876986,0.8219591969136454,-16.746177165384534,-7.378173050098912,9853.355689926642,1210412.123015551
E00042652,11,0.6857066728797323,0.18996820890876986,0.8217231541322388,-17.229456088188247,-7.263589635372352,13437.234150683691,1257218.4506213863
E00042653,11,0.14562502180449943,0.3142816842635219,0.9682133373742097,-16.945123261725815,-7.527959505183028,24523.03637897485,1277844.1920191925
E00042650,11,0.14562502180449943,0.3142816842635219,0.9682133373742097,-16.6556355059396,-7.454401893512908,23972.196688368756,1232493.1833084691
E00042651,11,0.6857066728797323,0.187009785064562,0.3535857577400226,-16.992088571427225,-7.664575929005967,18089.88865690147,1309902.1550988604
E00042658,10,0.5247590121382351,0.3333314702506201,0.5802448954729039,-17.019373845585925,-7.2016611844404315,14950.99787471489,1345871.6642086315
E00042659,11,0.8757214239261546,0.3287457848164084,0.07695156008524023,-16.933413307259215,-7.096985759295929,13211.094911216012,1148759.9414020753
E00175592,7,-0.058798525511924916,0.01891610674111005,0.8716850935072215,-16.999239361331345,-7.5090883734260085,863.9905275533704,1906166.5105721047
E00042193,7,0.5144914985309625,0.13582728865738647,0.003434830350230955,-16.957474283468805,-7.508451811071598,6263.035034916293,1244267.0955936783
E00042112,8,0.06205589844623122,0.4601660590263328,0.5011892064542687,-17.521086640367947,-7.411142691148926,10901.292679008475,1169505.5327189746
E00042192,7,0.3548297855885789,0.19931349522291242,0.3810829702758171,-17.13687006295249,-7.548114641921001,5702.947107897086,559126.7930505635
E00042113,10,1.0,0.34384551873452474,0.15366050998677405,-16.68567824404688,-7.2569535968050625,7368.054260645082,1500427.2299547766
E00042191,10,0.25330089598912015,0.0,0.44673035261484695,-16.63920421854287,-7.27095134192187,6220.836552132187,1178950.0135849635
